time,cpu,mem,diskRand,diskSeq
1636315201,954.20,8413.89,2.40,119.76
1636317001,953.02,8474.56,2.40,119.67
1636318801,953.45,8477.32,2.40,119.65
1636320601,953.45,8479.19,2.40,119.68
1636322401,953.54,8479.98,2.40,119.65
1636324201,954.12,8478.06,2.40,119.56
1636326001,953.34,8480.67,2.40,119.76
1636327801,952.78,8475.39,2.39,119.47
1636329601,952.25,8482.21,2.40,119.65
1636331401,953.09,8475.15,2.40,119.76
1636333201,953.58,8481.22,2.40,119.67
1636335002,953.38,8479.55,2.40,119.76
1636336801,953.88,8478.96,2.40,119.66
1636338601,953.39,8479.11,2.40,119.76
1636340401,950.71,8478.34,2.40,119.66
1636342201,953.42,8478.95,2.40,119.66
1636344001,952.69,8476.63,2.39,119.56
1636345801,953.56,8466.93,2.40,119.76
1636347601,953.48,8476.68,2.39,119.04
1636349401,953.27,8478.73,2.39,119.47
1636351201,953.12,8477.47,2.40,119.65
1636353001,954.49,8469.30,2.39,119.48
1636354801,952.74,8476.87,2.40,119.48
1636356601,953.60,8474.49,2.39,119.51
1636358401,952.69,8474.21,2.40,119.76
1636360201,953.00,8473.76,2.39,119.67
1636362001,952.83,8478.24,2.39,119.65
1636363801,952.02,8473.28,2.38,119.52
1636365601,953.03,8469.90,2.40,119.65
1636367401,952.57,8471.61,2.39,119.68
1636369201,952.91,8469.45,2.40,119.76
1636371001,952.98,8474.35,2.40,119.41
1636372801,952.96,8470.77,2.39,119.64
1636374601,952.81,8469.68,2.39,119.76
1636376401,953.12,8475.45,2.39,119.66
1636378201,953.17,8472.36,2.40,119.58
1636380001,953.22,8476.87,2.39,119.52
1636381801,953.06,8474.47,2.39,119.64
1636383601,953.73,8469.92,2.40,119.55
1636385401,952.15,8468.82,2.40,119.60
1636387201,952.78,8471.69,2.39,119.56
1636389001,952.50,8471.88,2.39,119.65
1636390801,946.03,8356.29,2.40,119.67
1636392601,952.84,8471.41,2.40,119.65
1636394401,952.29,8463.60,2.40,119.66
1636396201,952.39,8472.92,2.40,119.65
1636398001,954.12,8472.00,2.39,119.66
1636399801,952.94,8468.98,2.40,118.87
1636401601,954.26,8473.48,2.40,119.48
1636403401,952.83,8473.70,2.40,119.76
1636405201,952.43,8472.94,2.39,119.46
1636407001,952.69,8476.19,2.39,119.74
1636408801,952.83,8469.08,2.39,119.67
1636410601,963.95,8532.78,2.39,119.76
1636412401,960.41,8566.36,2.39,119.65
1636414201,967.48,8594.73,2.40,119.65
1636416001,952.99,8470.16,2.39,119.76
1636417801,952.26,8468.67,2.40,119.63
1636419601,953.06,8470.50,2.40,119.76
1636421401,952.76,8471.03,2.39,119.66
1636423201,952.81,8470.26,2.39,119.45
1636425001,925.19,8228.96,2.40,95.89
1636426801,944.40,8407.73,2.39,102.24
1636428601,952.69,8468.99,2.39,119.56
1636430401,935.14,8294.83,2.39,117.95
1636432201,948.80,8438.83,2.40,119.56
1636434001,947.40,8411.12,2.38,119.55
1636435801,952.41,8441.39,2.39,119.50
1636437601,949.36,8436.22,2.40,119.65
1636439401,952.70,8473.28,2.40,118.78
1636441201,948.27,8407.34,2.39,116.92
1636443001,949.31,8470.77,2.40,119.69
1636444801,952.82,8475.49,2.40,119.47
1636446601,952.45,8474.78,2.39,119.76
1636448401,953.20,8475.99,2.40,119.57
1636450201,952.70,8471.24,2.40,119.76
1636452001,952.71,8474.60,2.40,119.76
1636453801,952.73,8466.30,2.39,119.66
1636455601,952.92,8473.99,2.39,119.65
1636457401,952.89,8473.86,2.39,119.67
1636459201,952.54,8471.21,2.39,119.77
1636461001,952.18,8465.56,2.40,119.52
1636462801,953.00,8470.05,2.39,119.57
1636464601,953.23,8475.12,2.39,119.51
1636466401,952.94,8469.61,2.40,119.58
1636468201,952.96,8478.46,2.40,119.56
1636470001,953.19,8471.97,2.40,118.76
1636471801,953.09,8475.99,2.40,119.45
1636473601,954.72,8470.68,2.40,119.53
1636475401,953.04,8476.31,2.40,119.57
1636477201,952.62,8475.01,2.40,119.58
1636479001,953.11,8469.58,2.40,119.55
1636480801,953.00,8474.41,2.40,119.76
1636482601,951.70,8471.06,2.39,119.19
1636484401,952.84,8475.58,2.40,119.33
1636486201,953.07,8475.35,2.39,119.46
1636488001,953.88,8473.10,2.39,119.57
1636489801,952.87,8476.00,2.40,119.76
1636491601,953.35,8474.61,2.40,119.67
1636493401,952.28,8469.40,2.40,119.76
1636495201,952.05,8466.53,2.40,119.67
1636497001,952.23,8466.81,2.40,119.79
1636498801,952.56,8460.95,2.40,119.46
1636500601,952.45,8469.29,2.39,119.76
1636502401,952.43,8470.37,2.40,119.56
1636504201,952.30,8470.06,2.40,119.76
1636506001,952.85,8470.41,2.40,119.46
1636507801,952.59,8470.18,2.39,119.76
1636509601,952.85,8469.38,2.39,119.67
1636511401,952.72,8472.36,2.40,119.67
1636513201,951.85,8464.96,2.40,119.68
1636515001,952.61,8471.26,2.40,119.68
1636516801,952.51,8470.06,2.40,119.67
1636518601,952.36,8465.73,2.40,119.56
1636520401,952.30,8469.99,2.40,119.74
1636522201,951.70,8462.38,2.40,119.59
1636524001,952.43,8461.81,2.40,119.64
1636525801,951.20,8458.05,2.39,119.57
