time,cpu,mem,diskRand,diskSeq,fork,uplink
1638885769,879.56,7622.66,2.40,82.06,5011.77,31144
1638886132,877.57,7446.73,2.40,84.90,5027.64,32816
1638886495,906.46,7771.24,1.11,74.31,5145.53,32456
1638886858,910.42,7729.61,1.10,60.37,4819.90,32064
1638887220,904.10,7593.91,1.10,60.23,4975.14,32560
1638887584,905.20,7829.19,1.10,60.35,5111.27,32672
1638887946,915.40,7767.62,1.10,60.23,4919.63,31744
1638888310,909.90,7792.13,1.10,60.43,5134.41,31664
1638888673,896.92,7676.93,1.10,60.42,4877.94,31856
1638889036,901.61,7623.94,1.10,60.45,5067.96,32312
