time,cpu,mem,diskRand,diskSeq,fork,uplink
1638891581,863.94,7137.88,1.50,1.52,3584.62,104.8
1638891956,855.88,7144.83,0.73,0.56,3682.34,112.0
1638892359,863.41,7119.71,0.65,0.61,3809.45,105.6
1638892754,850.58,7114.42,0.95,0.93,3542.78,128.8
1638893144,842.78,7197.36,0.68,0.62,3655.72,124.0
1638893549,841.70,7204.15,0.80,0.82,3508.32,127.2
1638893951,854.89,7212.77,5.45,5.45,3650.79,174.4
1638894317,863.41,7091.92,1.59,1.68,3736.32,192.0
1638894692,846.80,7053.63,0.88,0.97,3390.37,90.4
1638895086,838.64,7063.15,1.05,1.05,3555.11,147.2
