time,cpu,mem,diskRand,diskSeq,fork,uplink
1638882091,886.03,7886.93,2.40,87.37,4772.90,33048
1638882455,903.41,8004.68,2.40,86.10,4972.33,33384
1638882818,892.03,7970.45,2.39,75.25,4936.67,32608
1638883181,892.35,7934.50,2.39,82.46,4799.92,32592
1638883544,891.52,7922.41,2.40,87.04,4927.49,32312
1638883907,875.25,7607.94,2.39,66.29,4757.14,32584
1638884270,889.69,7950.06,2.40,84.35,4994.93,32160
1638884633,899.54,7953.46,1.75,89.65,4887.86,32760
1638884996,904.67,8060.14,2.39,92.65,5082.42,32720
1638885359,893.91,8028.35,2.40,86.99,4971.62,33256
