time,cpu,mem,diskRand,diskSeq,fork,uplink
1638906374,221.18,457.62,25.68,26.00,464.32,156.8
1638907035,25.33,0.51,6.35,0.12,396.56,146.4
1638907689,171.17,58.52,7.69,8.37,228.00,55.92
1638908457,25.48,0.27,25.07,22.89,440.91,176.0
1638909157,220.80,612.94,26.23,25.30,476.31,150.4
1638909554,222.11,591.70,25.44,26.08,472.81,161.6
1638909941,219.11,586.40,25.92,26.04,467.21,148.0
1638910332,182.03,48.17,8.00,8.66,257.86,60.24
1638910970,24.42,0.67,0.29,0.37,40.56,68.72
1638911675,37.12,1.52,0.49,0.29,10.94,95.2
